no,cert_type,level,subject,domain_area,q_type,item_purpose,difficulty,content,option_a,option_b,option_c,option_d,correct_answer,points,explanation,source_ref,shuffle_exempt,review_status,review_comment,version,created_by,created_date
1,AXIS,L2,고급 AI 지시·워크플로우 설계,고급 지시설계형,고급 지시설계형,tool_use,hard,자료 수집·분석·요약·보고서화를 한 프롬프트에 한꺼번에 시켰더니 결과가 엉성하다. 가장 적절한 지시 설계는?,여러 작업을 한 번에 다 시키되 프롬프트를 더 길고 자세하게 쓴다,작업을 단계로 나눠 지시하고 앞 출력을 다음 입력으로 잇는다,AI가 알아서 단계를 나눠 처리하도록 그대로 맡긴다,결과가 엉성하니 사람이 전부 다시 작성한다,,1,정답 근거 복잡한 작업은 단계로 나눠 각 단계를 지시하고 출력을 다음 단계 입력으로 연결해야 품질이 오른다. 보기 오답/정답 분석 A 오답. 한 프롬프트에 과업이 몰리면 길게 써도 품질이 떨어진다. B 정답. 복잡한 작업은 단계로 나눠 각 단계를 지시하고 출력을 다음 단계 입력으로 연결해야 품질이 오른다. C 오답. 단계 설계는 사람이 할 지시 설계다. D 오답. 단계 분해로 풀 일을 전면 수작업으로 대응한다. 실무 포인트: 복잡 작업은 단계로 나눠 지시하고 출력을 잇는다. 변별 의도: 한 번에 몰아 시키는 사람과 단계로 설계하는 실무자를 구분한다.,AXIS-L2-OBJ-ADV-0001,False,approved,import:AXIS_L2_객관식_고급지시워크플로우_1차20문항_v1_1.html,2,,
2,AXIS,L2,고급 AI 지시·워크플로우 설계,고급 지시설계형,고급 지시설계형,tool_use,hard,정확성이 중요한 통계 요약을 AI에 맡기는 지시를 설계하려 한다. 가장 적절한 지시는?,빠르고 매끄럽게 요약만 하도록 형식·분량 조건까지 넣어 최대한 자세히 지시한다,정확성은 AI가 알아서 보장하도록 맡긴다,결과를 믿고 검증 지시는 넣지 않는다,근거·출처를 함께 제시하고 불확실하면 표시하도록 검증을 지시에 넣는다,,1,정답 근거 정확성이 중요한 작업은 근거 제시·불확실 표시 등 검증 요청을 지시에 포함해야 한다. 보기 오답/정답 분석 A 오답. 매끄러움만 지시하면 검증 장치가 빠진다. B 오답. 검증을 AI에 맡기면 오류가 그대로 통과한다. C 오답. 검증 요청 누락은 사실 오류를 부른다. D 정답. 정확성이 중요한 작업은 근거 제시·불확실 표시 등 검증 요청을 지시에 포함해야 한다. 실무 포인트: 정확성이 중요하면 검증 요청을 지시에 넣는다. 변별 의도: 매끄러움만 지시하는 사람과 검증을 설계하는 실무자를 구분한다.,AXIS-L2-OBJ-ADV-0002,False,approved,import:AXIS_L2_객관식_고급지시워크플로우_1차20문항_v1_1.html,2,,
3,AXIS,L2,고급 AI 지시·워크플로우 설계,고급 지시설계형,고급 지시설계형,tool_use,medium,“이 내용 잘 정리해줘”라는 모호한 프롬프트를 개선하려 한다. 가장 적절한 방법은?,역할·맥락·목표·출력 형식을 갖춰 구체적으로 지시한다,"‘아주 잘, 완벽하게 정리해줘’처럼 강조어를 더 붙여 지시한다",정리 방식은 AI가 알아서 정하게 그대로 둔다,같은 프롬프트를 여러 번 반복해 넣는다,,1,정답 근거 모호한 지시는 역할·맥락·목표·형식을 갖춰 구체화해야 원하는 결과를 얻는다. 보기 오답/정답 분석 A 정답. 모호한 지시는 역할·맥락·목표·형식을 갖춰 구체화해야 원하는 결과를 얻는다. B 오답. 강조어 추가는 구체성을 높이지 못한다. C 오답. 방식 미지정은 결과를 예측할 수 없게 한다. D 오답. 반복은 모호함을 해소하지 못한다. 실무 포인트: 모호 지시는 역할·맥락·목표·형식으로 구체화한다. 변별 의도: 강조어·반복으로 때우는 사람과 구조화하는 실무자를 구분한다.,AXIS-L2-OBJ-ADV-0003,False,approved,import:AXIS_L2_객관식_고급지시워크플로우_1차20문항_v1_1.html,2,,
4,AXIS,L2,고급 AI 지시·워크플로우 설계,고급 지시설계형,고급 지시설계형,tool_use,medium,비교 결과를 받는데 형식이 매번 들쭉날쭉하다. 가장 적절한 지시 보완은?,형식은 AI가 보기 좋게 알아서 정하도록 그대로 맡긴다,형식은 받은 뒤 사람이 매번 직접 바꾼다,표·리스트 등 원하는 출력 형식을 지시에 명시한다,내용만 맞으면 형식은 지정하지 않는다,,1,정답 근거 출력 형식을 명시하면 일관된 형태로 결과를 받을 수 있다. 보기 오답/정답 분석 A 오답. 형식 미지정은 들쭉날쭉한 출력을 부른다. B 오답. 매번 수동 변환은 비효율적이다. C 정답. 출력 형식을 명시하면 일관된 형태로 결과를 받을 수 있다. D 오답. 형식 누락은 재사용·가독성을 떨어뜨린다. 실무 포인트: 원하는 출력 형식은 지시에 명시한다. 변별 의도: 형식을 위임·후처리하는 사람과 명시하는 실무자를 구분한다.,AXIS-L2-OBJ-ADV-0004,False,approved,import:AXIS_L2_객관식_고급지시워크플로우_1차20문항_v1_1.html,2,,
5,AXIS,L2,고급 AI 지시·워크플로우 설계,고급 지시설계형,고급 지시설계형,tool_use,medium,배경 설명 없이 “보고서 초안 써줘”라고만 했더니 엉뚱한 방향의 글이 나온다. 가장 적절한 보완은?,더 단호한 어조로 ‘제대로 좀 써줘’라고 다시 지시한다,목적·대상·배경 등 맥락을 지시에 함께 제공한다,맥락은 AI가 알아서 추론하게 두고 결과를 본다,방향이 틀리면 처음부터 다시 시킨다,,1,정답 근거 맥락(목적·대상·배경)을 제공해야 의도한 방향의 결과가 나온다. 보기 오답/정답 분석 A 오답. 어조 강화는 맥락 부족을 해결하지 못한다. B 정답. 맥락(목적·대상·배경)을 제공해야 의도한 방향의 결과가 나온다. C 오답. 맥락 추론에 맡기면 방향이 어긋난다. D 오답. 맥락 제공이 재시도보다 효율적이다. 실무 포인트: 엉뚱한 출력은 맥락 제공으로 잡는다. 변별 의도: 어조·재시도로 때우는 사람과 맥락을 제공하는 실무자를 구분한다.,AXIS-L2-OBJ-ADV-0005,False,approved,import:AXIS_L2_객관식_고급지시워크플로우_1차20문항_v1_1.html,2,,
6,AXIS,L2,고급 AI 지시·워크플로우 설계,고급 지시설계형,고급 지시설계형,tool_use,medium,원하는 스타일을 설명만으로 지시했더니 기대와 다른 출력이 나온다. 가장 적절한 보완은?,원하는 형태의 예시를 한두 개 함께 제시한다,스타일 설명을 더 길고 추상적으로 늘려서 다시 지시한다,스타일은 AI가 알아서 맞추게 그대로 둔다,마음에 들 때까지 같은 지시를 반복한다,,1,정답 근거 예시(few-shot)를 함께 주면 설명만으로 부족했던 스타일을 효과적으로 전달한다. 보기 오답/정답 분석 A 정답. 예시(few-shot)를 함께 주면 설명만으로 부족했던 스타일을 효과적으로 전달한다. B 오답. 추상적 설명을 늘려도 전달력은 낮다. C 오답. 예시 없이 맡기면 기대와 어긋난다. D 오답. 같은 지시 반복은 개선이 없다. 실무 포인트: 설명만으로 부족하면 예시를 함께 준다. 변별 의도: 설명만 늘리는 사람과 예시를 제시하는 실무자를 구분한다.,AXIS-L2-OBJ-ADV-0006,False,approved,import:AXIS_L2_객관식_고급지시워크플로우_1차20문항_v1_1.html,2,,
7,AXIS,L2,고급 AI 지시·워크플로우 설계,고급 지시설계형,고급 지시설계형,tool_use,medium,분량·금지 표현 등 제약을 안 줬더니 출력이 너무 길고 부적절한 표현이 섞인다. 가장 적절한 보완은?,긴 출력은 받은 뒤 사람이 매번 직접 잘라 정리한다,제약은 AI가 알아서 지키도록 그대로 맡긴다,제약 없이 일단 받고 문제 되면 그때 고친다,분량·피해야 할 표현 등 제약을 지시에 명시한다,,1,정답 근거 분량·금지 표현 등 제약을 명시하면 원하는 범위 안의 출력을 받는다. 보기 오답/정답 분석 A 오답. 매번 수동 정리는 비효율적이다. B 오답. 제약 미지정은 부적절한 출력을 부른다. C 오답. 사전 제약 명시가 사후 수정보다 낫다. D 정답. 분량·금지 표현 등 제약을 명시하면 원하는 범위 안의 출력을 받는다. 실무 포인트: 분량·금지 등 제약은 지시에 명시한다. 변별 의도: 후처리·위임하는 사람과 제약을 명시하는 실무자를 구분한다.,AXIS-L2-OBJ-ADV-0007,False,approved,import:AXIS_L2_객관식_고급지시워크플로우_1차20문항_v1_1.html,2,,
8,AXIS,L2,고급 AI 지시·워크플로우 설계,고급 지시설계형,고급 지시설계형,tool_use,medium,첫 답변이 아쉬울 때 개선하는 방법으로 가장 적절한 것은?,처음 지시를 버리고 완전히 새 주제로 다시 시작한다,아쉬워도 AI가 낸 첫 답변을 그대로 사용한다,무엇이 부족한지 짚어 수정 프롬프트로 개선한다,같은 프롬프트를 그대로 여러 번 다시 넣는다,,1,정답 근거 부족한 점을 구체적으로 짚어 수정 프롬프트로 이어가면 결과가 개선된다. 보기 오답/정답 분석 A 오답. 맥락을 버리는 재시작은 비효율적이다. B 오답. 첫 답변을 검증·개선 없이 쓰면 안 된다. C 정답. 부족한 점을 구체적으로 짚어 수정 프롬프트로 이어가면 결과가 개선된다. D 오답. 같은 지시 반복은 개선이 없다. 실무 포인트: 첫 답변은 부족한 점을 짚어 수정 프롬프트로 개선한다. 변별 의도: 버리거나 그대로 쓰는 사람과 개선하는 실무자를 구분한다.,AXIS-L2-OBJ-ADV-0008,False,approved,import:AXIS_L2_객관식_고급지시워크플로우_1차20문항_v1_1.html,2,,
9,AXIS,L2,고급 AI 지시·워크플로우 설계,고급 지시설계형,고급 지시설계형,tool_use,medium,전문적인 답변이 필요한 작업의 지시를 개선하려 한다. 가장 적절한 방법은?,‘당신은 ~분야 전문가’처럼 역할을 부여해 지시한다,‘아주 똑똑하게 대답해’처럼 칭찬성 표현을 잔뜩 덧붙인다,전문성은 AI가 알아서 발휘하게 그대로 둔다,전문 용어를 최대한 많이 넣어 지시한다,,1,정답 근거 역할을 부여하면 해당 관점·수준에 맞춘 답변을 끌어낼 수 있다. 보기 오답/정답 분석 A 정답. 역할을 부여하면 해당 관점·수준에 맞춘 답변을 끌어낼 수 있다. B 오답. 칭찬성 표현은 전문성을 높이지 못한다. C 오답. 역할 미지정은 일반적 답변에 그친다. D 오답. 용어 나열이 역할 부여를 대신하지 못한다. 실무 포인트: 전문 답변은 역할 부여로 끌어낸다. 변별 의도: 칭찬어·용어로 때우는 사람과 역할을 부여하는 실무자를 구분한다.,AXIS-L2-OBJ-ADV-0009,False,approved,import:AXIS_L2_객관식_고급지시워크플로우_1차20문항_v1_1.html,2,,
10,AXIS,L2,고급 AI 지시·워크플로우 설계,고급 지시설계형,고급 지시설계형,tool_use,medium,AI가 자꾸 불필요한 서론과 추측을 덧붙인다. 가장 적절한 지시 보완은?,출력을 받은 뒤 사람이 매번 서론을 직접 지운다,서론·추측은 빼라고 피해야 할 것을 명시한다,추측을 빼는 건 AI가 알아서 하도록 그대로 둔다,서론이 있어도 그대로 사용한다,,1,정답 근거 피해야 할 것(서론·추측)을 명시하면 불필요한 출력을 줄일 수 있다. 보기 오답/정답 분석 A 오답. 매번 수동 삭제는 비효율적이다. B 정답. 피해야 할 것(서론·추측)을 명시하면 불필요한 출력을 줄일 수 있다. C 오답. 명시하지 않으면 같은 문제가 반복된다. D 오답. 불필요한 출력을 방치하는 것이다. 실무 포인트: 피해야 할 것은 지시에 명시한다. 변별 의도: 후처리·방치하는 사람과 부정 지시를 명시하는 실무자를 구분한다.,AXIS-L2-OBJ-ADV-0010,False,approved,import:AXIS_L2_객관식_고급지시워크플로우_1차20문항_v1_1.html,2,,
