no,cert_type,level,subject,domain_area,q_type,item_purpose,difficulty,content,option_a,option_b,option_c,option_d,correct_answer,points,explanation,source_ref,shuffle_exempt,review_status,review_comment,version,created_by,created_date
1,AXIS,L1,조직 AI 활용수준 진단,조직진단형,조직진단형,case_judgment,hard,조직 AI 활용수준을 진단하기 위한 첫 조치로 가장 적절한 것은?,직원 1인당 AI 사용시간을 집계·점검해 부서 순위를 빠르게 매긴다,활용이 많은 영업팀 방식을 검증 없이 전사 표준으로 삼는다,"부서별 업무유형과 데이터 민감도, 적용 사례를 본다",사용이 적은 재무팀을 미이수 부서로 분류해 불이익을 준다,C,3,"진단은 사용량만 보지 않고 업무유형·민감도·실제 적용을 봐야 한다. C가 진단 근거를 확보한다. A는 사용량만, B는 검증 없는 확산, D는 진단 전 불이익이다.",AXIS-L1-A-OD-M-101,False,approved,import:AXIS L1 Leader 사례형 객관식 문제은행 1.yaml,2,,
2,AXIS,L1,조직 AI 활용수준 진단,조직진단형,조직진단형,case_judgment,medium,조직 활용수준 진단 방법으로 가장 적절한 것은?,자가설문 결과를 바탕으로 부서별 성숙도를 바로 확정한다,사용로그 수치만으로 부서 활용수준을 순위화한다,응답 부담을 핑계로 진단을 다음 분기로 미루고 자율 사용을 그대로 둔다,설문·사용로그·심층인터뷰로 맥락과 실태를 폭넓게 파악한다,D,3,"단일 자료원은 편향·맥락 결손이 있다. D가 정량·정성을 교차해 본다. A·B는 단일 자료원 의존, C는 진단 회피다.",AXIS-L1-A-OD-M-102,False,approved,import:AXIS L1 Leader 사례형 객관식 문제은행 1.yaml,2,,
3,AXIS,L1,조직 AI 활용수준 진단,조직진단형,조직진단형,case_judgment,hard,진단 결과를 활용한 후속 조치로 가장 적절한 것은?,"마케팅팀엔 검증, 법무팀엔 업무적용을 보강한다",전 부서 역량을 다시 진단·검토해 동일 입문교육을 편성한다,활용도가 높은 마케팅팀 방식을 전사 표준으로 지정한다,활용도가 낮은 법무팀을 교육 대상에서 빼고 성과평가만 강화한다,A,3,"진단 결과는 부서별 취약역량에 맞춘 교육으로 이어져야 한다. A가 강·약점을 반영한다. B는 진단 미활용 반복, C는 약점 무시 확산, D는 진단 역행이다.",AXIS-L1-A-OD-M-103,False,approved,import:AXIS L1 Leader 사례형 객관식 문제은행 1.yaml,2,,
4,AXIS,L1,조직 AI 활용수준 진단,조직진단형,조직진단형,case_judgment,medium,이 팀의 실제 활용수준을 판단하기 위해 리더가 볼 것은?,보고 내용을 그대로 신뢰해 우수 활용팀으로 곧바로 지정한다,다른 팀과의 사용 빈도를 폭넓게 비교해 부서별 활용 순위를 매긴다,산출물의 표면적 완성도만 보고 수준을 평가한다,산출물을 어떻게 만들고 데이터를 어떻게 다뤘는지 따져 본다,D,3,활용수준은 자기보고나 빈도가 아니라 만들고 다룬 방식으로 본다. D가 실태를 본다. A·B·C는 표면 지표에 의존한다.,AXIS-L1-A-OD-M-104,False,approved,import:AXIS L1 Leader 사례형 객관식 문제은행 1.yaml,2,,
5,AXIS,L1,AI 적용 과제 발굴·우선순위,과제포트폴리오형,과제포트폴리오형,case_judgment,hard,효과·리스크·실패비용을 함께 볼 때 파일럿으로 가장 적절한 과제는?,인사평가를 AI가 자동 점수화해 평가 결과로 바로 쓴다,재무제표를 AI가 자동 확정하고 마감 시간을 줄인다,계약서 리스크를 AI가 판정하게 해 법무 최종검토 단계를 없앤다,공지문 초안을 AI로 만들고 담당자가 손본다,D,3,"초기 파일럿은 효과가 있으면서 민감도·실패비용이 낮아야 한다. D가 안전하게 시작한다. A는 인사 고위험, B는 재무 확정 고위험, C는 통제 제거다.",AXIS-L1-A-PP-M-105,False,approved,import:AXIS L1 Leader 사례형 객관식 문제은행 1.yaml,2,,
6,AXIS,L1,AI 적용 과제 발굴·우선순위,과제포트폴리오형,과제포트폴리오형,case_judgment,medium,과제 우선순위 결정 기준으로 가장 적절한 것은?,제안한 팀의 발언권이 큰 순서대로 정한다,가장 화제가 된 최신 기술을 쓰는 과제부터 한다,기대효과·리스크·실현가능성을 여러 기준으로 따져 표로 비교한다,도입이 쉬워 보이는 과제만 골라 효과 검토도 없이 전사에 일괄 적용한다,C,3,"우선순위는 효과·리스크·실현가능성을 함께 본 기준으로 정한다. C가 다기준 비교다. A는 정치적 판단, B는 유행 추종, D는 검토 없는 확산이다.",AXIS-L1-A-PP-M-106,False,approved,import:AXIS L1 Leader 사례형 객관식 문제은행 1.yaml,2,,
7,AXIS,L1,AI 적용 과제 발굴·우선순위,과제포트폴리오형,과제포트폴리오형,case_judgment,hard,첫 분기 포트폴리오 구성으로 가장 적절한 것은?,효과가 가장 큰 과제 하나를 먼저 검토해 전 자원을 집중한다,빠른 성과 과제로 학습을 쌓으며 기반 정비 과제도 이어간다,데이터 정비가 끝날 때까지 모든 과제를 보류한다,난이도·리스크와 무관하게 제안된 모든 과제를 검토 없이 동시에 착수한다,B,3,"초기에는 빠른 성과로 학습·신뢰를 쌓고 기반 과제를 병행한다. B가 균형 구성이다. A는 편중, C는 과도한 지연, D는 통제 없는 동시 착수다.",AXIS-L1-A-PP-M-107,False,approved,import:AXIS L1 Leader 사례형 객관식 문제은행 1.yaml,2,,
8,AXIS,L1,AI 적용 과제 발굴·우선순위,과제포트폴리오형,과제포트폴리오형,case_judgment,hard,확대 적용 결정으로 가장 적절한 것은?,성공팀 설정·프롬프트·예외처리를 검증 없이 전 부서에 그대로 복제한다,효과 수치가 좋으니 추가 검증 없이 즉시 전사 확대한다,확대 결정을 미룬 채 같은 파일럿을 여러 차례 반복해서 계속 돌린다,부서별 데이터·절차 차이를 살펴 차근차근 넓히며 성과를 다시 잰다,D,3,"확대는 맥락 차이를 살피며 단계적으로 넓혀야 한다. D가 안전한 확산이다. A·B는 맥락 무시 확산, C는 의사결정 회피다.",AXIS-L1-A-PP-M-108,False,approved,import:AXIS L1 Leader 사례형 객관식 문제은행 1.yaml,2,,
9,AXIS,L1,AI 운영기준·거버넌스 설계,거버넌스 설계형,거버넌스 설계형,case_judgment,hard,조직 AI 사용기준을 수립할 때 가장 먼저 고정해야 할 것은?,도구 선택과 자료 입력을 기준·절차 없이 전면 자유화한다,"쓸 수 있는 도구와 금지 정보, 책임자를 먼저 세운다",AI 사용량이 많은 부서를 먼저 우수사례로 지정한다,결과가 좋으면 입력자료 기록은 생략하도록 한다,B,3,거버넌스는 도구·금지정보·책임·기록을 먼저 고정한다. B가 운영 가능한 통제다. A·C·D는 편의 중심으로 리스크와 감사가능성을 약화한다.,AXIS-L1-A-GV-M-109,False,approved,import:AXIS L1 Leader 사례형 객관식 문제은행 1.yaml,2,,
10,AXIS,L1,AI 운영기준·거버넌스 설계,거버넌스 설계형,거버넌스 설계형,case_judgment,medium,현업 자동화 운영체계로 가장 적절한 것은?,빠른 확산을 위해 부서별 도구 개발을 보안검토 없이 자율화한다,"등록대장과 소유자, 변경 승인, 폐기 규칙을 마련한다",사용자가 많아진 도구를 사후에 IT팀에 넘긴다,현업 개발이므로 보안검토는 필수 절차에서 제외한다,B,3,현업 자동화는 속도와 통제를 함께 관리해야 한다. B가 등록·소유자·변경·폐기로 책임과 유지보수를 확보한다. A·C·D는 통제를 생략한다.,AXIS-L1-A-GV-M-110,False,approved,import:AXIS L1 Leader 사례형 객관식 문제은행 1.yaml,2,,
11,AXIS,L1,AI 운영기준·거버넌스 설계,거버넌스 설계형,거버넌스 설계형,case_judgment,hard,거버넌스 체계 구성으로 가장 적절한 것은?,IT팀 단독으로 모든 기준을 정하고 통보한다,사고가 난 뒤에만 임시로 위원회를 소집한다,현업·법무·보안·인사가 참여하는 공동 검토·결정 구조를 세운다,문서만 형식적으로 만들고 검토·승인·책임 주체를 지정하지 않는다,C,3,"AI 리스크는 여러 기능에 걸쳐 관련 부서가 함께 결정해야 한다. C가 실효 구조다. A는 편협, B는 사후 대응, D는 책임 공백이다.",AXIS-L1-A-GV-M-111,False,approved,import:AXIS L1 Leader 사례형 객관식 문제은행 1.yaml,2,,
